id,role_id,permission_id
"1","1","1"
"2","1","2"
"3","1","3"
"4","1","4"
"5","1","5"
"6","1","6"
"7","1","7"
"8","1","8"
"9","1","9"
"10","1","10"
"11","1","11"
"12","1","12"
"13","1","13"
"14","1","14"
"15","1","15"
"16","1","16"
"17","1","17"
"18","1","18"
"19","1","19"
"20","1","20"
"21","1","21"
"22","1","22"
"23","1","23"
"24","1","24"
"25","1","25"
"26","1","26"
"27","2","1"
"28","2","2"
"29","2","3"
"30","2","4"
"31","2","5"
"32","2","6"
"33","2","7"
"34","2","8"
"35","2","9"
"36","2","10"
"37","2","11"
"38","2","12"
"39","2","13"
"40","2","14"
"41","2","15"
"42","2","16"
"43","2","17"
"44","2","18"
"45","2","19"
"46","2","20"
"47","2","21"
"48","2","22"
"49","2","23"
"50","2","26"
"51","3","1"
"52","3","2"
"53","3","3"
"54","3","5"
"55","3","6"
"56","3","7"
"57","3","8"
"58","3","10"
"59","3","11"
"60","3","13"
"61","3","14"
"62","3","15"
"63","3","17"
"64","3","18"
"65","3","19"
"66","3","21"
"67","3","22"
"68","4","2"
"69","4","7"
"70","4","11"
"71","4","13"
"72","4","17"
"73","4","21"
"74","4","22"
"75","4","26"